,Ticker,GARCH_CI,GARCH_Direction,GARCH_RMSE,FIGARCH_CI,FIGARCH_Direction,FIGARCH_RMSE,APARCH_CI,APARCH_Direction,APARCH_RMSE,HARCH_CI,HARCH_Direction,HARCH_RMSE
319,EFX,0.8686746987951808,0.553012048192771,0.1738811358548693,0.8710843373493976,0.5536144578313253,0.17387827830457764,0.8753012048192771,0.5506024096385542,0.3792591671675793,0.8644578313253012,0.55,0.17385810936589047
320,UNP,0.9012048192771084,0.5656626506024096,0.1541241005077104,0.8993975903614457,0.5674698795180723,0.1542256550704077,0.905421686746988,0.5626506024096386,0.19054721209538894,0.903012048192771,0.563855421686747,0.15379300699602588
321,NSC,0.9078313253012048,0.558433734939759,0.17806199049425317,0.905421686746988,0.5560240963855422,0.17754637587498875,0.9168173598553345,0.5566265060240964,3.298409049737473,0.908433734939759,0.5596385542168675,0.1780071246709214
322,JBHT,0.9451807228915663,0.5578313253012048,0.142172565714899,0.9451807228915663,0.5614457831325301,0.14221502822245363,0.9421686746987952,0.5512048192771084,0.1434005864072089,0.944578313253012,0.558433734939759,0.142300519413547
323,CSX,0.9036144578313253,0.558433734939759,0.24513567516155918,0.9066265060240963,0.5566265060240964,0.24589057373385823,0.9042168674698795,0.5518072289156627,0.9452575665628773,0.9090361445783133,0.558433734939759,0.24582501060632478
324,ODFL,0.9138034960819771,0.5467148884870404,0.16054188006851636,0.9150090415913201,0.5467148884870404,0.16026843986047967,0.9150090415913201,0.5485232067510548,0.41228921442356936,0.9132007233273056,0.5455093429776974,0.16060838019838317
325,URI,0.9150602409638554,0.5566265060240964,0.2297179905676259,0.9162650602409639,0.555421686746988,0.22920668663682642,0.9210843373493975,0.5542168674698795,0.2285288058438249,0.9156626506024096,0.555421686746988,0.23030517258848915
326,GWW,0.8933734939759036,0.555421686746988,0.18159007789560216,0.8957831325301204,0.555421686746988,0.18002315257164828,0.8939759036144578,0.5596385542168675,0.8246579618936785,0.8945783132530121,0.5542168674698795,0.18105845006937196
327,FAST,0.8981927710843374,0.5650602409638554,0.1537437888039539,0.903012048192771,0.5596385542168675,0.15371004707314964,0.8975903614457831,0.5590361445783133,0.9982310739581307,0.8969879518072289,0.5632530120481928,0.15404948133856744
328,ANET,0.8849397590361445,0.5451807228915663,0.3188491182688364,0.8783132530120482,0.5397590361445783,0.3208558089378212,0.8867469879518072,0.55,0.525471143510423,0.8867469879518072,0.5373493975903615,0.32205333338213893
329,JNPR,0.8674698795180723,0.5289156626506024,0.14303955058566117,0.8728915662650603,0.5271084337349398,0.1421385117324559,0.8740963855421687,0.5289156626506024,4.790034319066226,0.8698795180722891,0.5295180722891566,0.1433278537971665
330,MSI,0.8668674698795181,0.5475903614457831,0.1606366793648045,0.8765060240963856,0.5427710843373494,0.1598132219739854,0.8685955394816154,0.5403614457831325,1.7949404023044617,0.8644578313253012,0.5506024096385542,0.16100906768467632
331,CSCO,0.8216867469879519,0.5512048192771084,0.3426137098322175,0.822289156626506,0.5506024096385542,0.34341960694263807,0.8168674698795181,0.5542168674698795,1.202496448681884,0.8265060240963855,0.5524096385542169,0.3439453223565524
332,FFIV,0.8855421686746988,0.555421686746988,0.16138309471020323,0.886144578313253,0.558433734939759,0.1620247219407635,0.8843373493975903,0.5560240963855422,0.18970703579934073,0.8885542168674698,0.5542168674698795,0.15984127888735344
333,ZBRA,0.8771084337349397,0.5379518072289157,0.2058706445326603,0.8819277108433735,0.5343373493975904,0.20361095673383026,0.8837349397590362,0.5349397590361445,0.2214887757682813,0.8746987951807229,0.5367469879518072,0.20570080529943427
334,APH,0.8969879518072289,0.5506024096385542,0.14555539731252043,0.8975903614457831,0.5487951807228916,0.14564723453882314,0.903012048192771,0.5560240963855422,0.5289060243699968,0.8981927710843374,0.5487951807228916,0.14661956505523685
335,TDY,0.8897590361445783,0.5367469879518072,0.1863910340211639,0.8939759036144578,0.5391566265060241,0.18581667752740805,0.9012048192771084,0.5355421686746988,0.18501283377183914,0.8945783132530121,0.5391566265060241,0.18609524623722612
336,GLW,0.9018072289156627,0.5409638554216868,0.1870944027556679,0.9006024096385542,0.5409638554216868,0.18729472632079117,0.9095840867992767,0.5397590361445783,0.45941926061418653,0.903012048192771,0.5397590361445783,0.18725334137790686
337,CDW,0.8608433734939759,0.5283132530120482,0.17560403339587816,0.8650602409638555,0.5283132530120482,0.17604580593154412,0.869277108433735,0.5259036144578313,4.10070914345564,0.8620481927710844,0.5277108433734939,0.17590981927844243
338,TEL,0.8933734939759036,0.555421686746988,0.16531877963451602,0.8951807228915662,0.5572289156626506,0.165116926888581,0.9,0.5548192771084337,0.16437876124208856,0.8939759036144578,0.5536144578313253,0.1654736810154444
339,KEYS,0.8939759036144578,0.541566265060241,0.16821466295325338,0.8975903614457831,0.5403614457831325,0.16776581058955733,0.8837349397590362,0.5403614457831325,11.094621675271469,0.8945783132530121,0.5379518072289157,0.16802968703364296
340,TRMB,0.8487951807228916,0.5385542168674698,0.20201391674045452,0.8518072289156626,0.5397590361445783,0.20143290882105996,0.8602409638554217,0.5409638554216868,0.20682038695353824,0.8530120481927711,0.5397590361445783,0.20208124323933574
341,IBM,0.8215792646172393,0.540084388185654,0.16007706588442547,0.8294153104279687,0.540084388185654,0.15971112596385792,0.8282097649186256,0.5346594333936107,1.3913858466370013,0.8167570825798673,0.5358649789029536,0.1597866630516166
342,FLT,0.8313253012048193,0.5451807228915663,0.1960115917611705,0.8349397590361446,0.5487951807228916,0.19528405896548282,0.8319277108433735,0.5463855421686747,0.3154493240576264,0.8313253012048193,0.5451807228915663,0.19688354403857866
343,AKAM,0.8825301204819277,0.5512048192771084,0.18714879076799723,0.8825301204819277,0.5475903614457831,0.18699755660312173,0.8752260397830018,0.5524096385542169,0.4455563052663166,0.8837349397590362,0.5506024096385542,0.1890017304823906
344,DXC,0.8187311178247734,0.5438066465256798,0.39370448506651146,0.8345921450151057,0.5400302114803626,0.39203280174518695,0.8306878306878307,0.5392749244712991,0.8338110790525511,0.8187311178247734,0.5445619335347432,0.3983183848016224
345,ADP,0.8578313253012049,0.5626506024096386,0.16784339879916585,0.8590361445783132,0.5614457831325301,0.16811522650731567,0.8722891566265061,0.5542168674698795,0.1678685898216829,0.8548192771084338,0.5596385542168675,0.16848477074453638
