,Ticker,5_Day_CI,5_Day_EV,5_Day_RMSE,7_Day_CI,7_Day_EV,7_Day_RMSE,10_Day_CI,10_Day_EV,10_Day_RMSE,15_Day_CI,15_Day_EV,15_Day_RMSE,30_Day_CI,30_Day_EV,30_Day_RMSE
0,LUMN,0.5113043478260869,0.5339130434782609,0.3325770959578617,0.3426086956521739,0.5339130434782609,0.3550544181818977,0.1634782608695652,0.5008695652173913,0.3796643850989173,0.02608695652173913,0.49391304347826087,0.40552862636064835,0.0,0.48869565217391303,0.4398169509943647
1,VZ,0.7052810902896082,0.5371947756956275,0.10967136799302087,0.6854060193072118,0.5513912549687677,0.09566379451288431,0.6053378762067008,0.5496876774559909,0.09730529625636852,0.38841567291311757,0.5485519591141397,0.11247458198706929,0.08574673480976717,0.5008517887563884,0.1431261142240789
2,T,0.7217490062464509,0.5354911981828506,0.14946503801311117,0.6655309483248154,0.5536626916524702,0.14807685921748975,0.5900056785917093,0.5565019875070982,0.15690838685420105,0.3838727995457127,0.5513912549687677,0.1734854741089291,0.055650198750709826,0.5019875070982396,0.20191465866292424
3,DIS,0.6746166950596252,0.521862578080636,0.17360095676972093,0.5706984667802385,0.5343554798409994,0.1810574399407261,0.4787052810902896,0.5298126064735945,0.19602146359905442,0.25951164111300395,0.5150482680295286,0.21621483551868997,0.04202157864849517,0.501419647927314,0.24686739795938867
4,TTWO,0.6553094832481544,0.5570698466780238,0.20722002866400524,0.46223736513344693,0.5559341283361726,0.22930750955993448,0.24361158432708688,0.532084043157297,0.2548950679422378,0.07268597387847814,0.5178875638841567,0.28249703026799255,0.0034071550255536627,0.5070982396365701,0.3194137780272701
5,NFLX,0.5195911413969335,0.5298126064735945,0.29867644683820216,0.35661555934128336,0.5207268597387847,0.3224488511014119,0.17717206132879046,0.5053946621237932,0.3482817925446016,0.039750141964792735,0.49630891538898353,0.37537148829788564,0.0005678591709256105,0.4900624645088018,0.41112585859454753
6,ATVI,0.639977285633163,0.5406019307211811,0.19638079893259877,0.4951731970471323,0.5286768881317433,0.21266081906240578,0.303236797274276,0.5167518455423055,0.23395684244482484,0.15445769449176605,0.5082339579784213,0.2584439503462669,0.030096536059057353,0.488358886996025,0.2925667349704404
7,LYV,0.6144236229415105,0.5303804656445201,0.2665632792121272,0.46564452015900054,0.5371947756956275,0.28553457961739054,0.3128904031800114,0.5309483248154457,0.307772396862761,0.12720045428733673,0.5167518455423055,0.33217126250455764,0.009653605905735378,0.5008517887563884,0.36543986463917133
8,EA,0.7433276547416241,0.5513912549687677,0.1600827715712225,0.6115843270868825,0.5485519591141397,0.17518195653661842,0.36740488358886997,0.5309483248154457,0.196628618488732,0.1419647927314026,0.5150482680295286,0.2218931569325494,0.004542873367404884,0.5002839295854627,0.25729446683239426
9,WBD,0.054945054945054944,0.521978021978022,0.4435192673701532,0.03296703296703297,0.5054945054945055,0.4788880089175312,0.01098901098901099,0.5054945054945055,0.5137072235101974,0.0,0.5054945054945055,0.547835104035538,0.0,0.5054945054945055,0.5905908425653523
10,MTCH,0.3975014196479273,0.542305508233958,0.32278904844296746,0.22998296422487224,0.5252697331061896,0.35109831091244287,0.097671777399205,0.514480408858603,0.3804688144599589,0.018739352640545145,0.5036910846110164,0.4103350792416616,0.0017035775127768314,0.5002839295854627,0.4488246795149559
11,GOOGL,0.7064168086314594,0.532084043157297,0.14916373437311278,0.5854628052243044,0.5298126064735945,0.160515535539516,0.41680863145939806,0.5354911981828506,0.17956674170096182,0.21067575241340147,0.5139125496876774,0.20340125652456378,0.031232254400908575,0.49630891538898353,0.2378050303858765
12,GOOG,0.6927881885292447,0.5360590573537762,0.15036546318933106,0.5769449176604202,0.5275411697898921,0.16129445586775468,0.42589437819420783,0.521862578080636,0.17997079648071002,0.21351504826802953,0.5105053946621237,0.20350845369499604,0.03236797274275979,0.4940374787052811,0.23763253123250425
13,CMCSA,0.740488358886996,0.5377626348665531,0.13764433074780713,0.6547416240772288,0.5491198182850653,0.1448746550268929,0.4747302668938103,0.5417376490630323,0.16139629860600432,0.23622941510505394,0.5173197047132311,0.18387041120589612,0.02555366269165247,0.504258943781942,0.21748620622726134
14,DISH,0.5244318181818182,0.5448863636363637,0.2906690429072791,0.3494318181818182,0.53125,0.3132195421621995,0.1875,0.5176136363636363,0.3381512130557457,0.06477272727272727,0.5130681818181818,0.3645762188047015,0.008522727272727272,0.5022727272727273,0.399691720520412
15,NWSA,0.7331061896649631,0.5718341851220897,0.17541829728585112,0.5803520726859739,0.552526973310619,0.19079065739746795,0.3696763202725724,0.5303804656445201,0.21194544195670642,0.1419647927314026,0.5150482680295286,0.23668689732595902,0.014764338444065871,0.4951731970471323,0.27135402769831557
16,IPG,0.7166382737081204,0.5468483816013628,0.19500131634212123,0.5610448608745031,0.5360590573537762,0.21060346142252404,0.3526405451448041,0.5178875638841567,0.2314017849536587,0.1470755252697331,0.5048268029528676,0.25553291578389536,0.009653605905735378,0.4894946053378762,0.28935497660891285
17,CHTR,0.6927881885292447,0.5326519023282226,0.16686697601358627,0.5729699034639409,0.5337876206700738,0.18039627670648517,0.38784781374219196,0.5326519023282226,0.20041324722668524,0.17717206132879046,0.5292447473026689,0.22449961968856277,0.02555366269165247,0.5031232254400908,0.25873918631976495
18,PARA,0.1926605504587156,0.5229357798165137,0.3748942328664822,0.10091743119266056,0.518348623853211,0.4074389883775879,0.03211009174311927,0.5045871559633027,0.4400254293998909,0.0,0.5045871559633027,0.47241696986294746,0.0,0.5045871559633027,0.5133965302029296
19,FOXA,0.6083333333333333,0.5552083333333333,0.2356037075213055,0.45208333333333334,0.5520833333333334,0.2586742985361001,0.265625,0.5260416666666666,0.284586505541392,0.07291666666666667,0.5072916666666667,0.3106121627074391,0.0020833333333333333,0.5041666666666667,0.34492316318388405
20,OMC,0.7410562180579217,0.5315161839863713,0.1650006316694619,0.6422487223168655,0.5286768881317433,0.17354811692265762,0.4565587734241908,0.5354911981828506,0.18973690388796363,0.2572402044293015,0.5269733106189665,0.2110716547783233,0.02385008517887564,0.5002839295854627,0.24294756992816163
21,TMUS,0.7301136363636364,0.5426136363636364,0.14922965651507206,0.6107954545454546,0.5448863636363637,0.15969950230520735,0.45852272727272725,0.5306818181818181,0.17808557962545887,0.2,0.522159090909091,0.2014593002746844,0.023863636363636365,0.49261363636363636,0.23546921140236546
22,APTV,0.5058823529411764,0.5443137254901961,0.4010218771362301,0.3388235294117647,0.5294117647058824,0.41969084599031126,0.1796078431372549,0.5262745098039215,0.44051501592393116,0.05568627450980392,0.508235294117647,0.46282478850216113,0.000784313725490196,0.5003921568627451,0.4930116153651703
23,BWA,0.6115843270868825,0.5417376490630323,0.18216017316345484,0.4020442930153322,0.5298126064735945,0.20668121353916843,0.17603634298693924,0.5088018171493469,0.2345179216838838,0.05337876206700738,0.49687677455990914,0.2640504743273355,0.004542873367404884,0.49290176036342986,0.30299717579640234
24,F,0.6030664395229983,0.5252697331061896,0.21980199240867412,0.45315161839863716,0.5258375922771152,0.2395726561693461,0.3145939806927882,0.5229982964224872,0.2631352627624843,0.14310051107325383,0.5082339579784213,0.2890535966166028,0.007950028392958546,0.49176604202157864,0.3242395303564839
25,TSLA,0.3145939806927882,0.5190232822260079,0.40358556953295643,0.1692220329358319,0.5036910846110164,0.43294255145870447,0.05678591709256105,0.5002839295854627,0.462839244320516,0.01306076093128904,0.49801249290176036,0.4928754926400661,0.0,0.49744463373083475,0.5313068070432547
26,GM,0.6059057353776264,0.5315161839863713,0.2209243060598336,0.454855195911414,0.5235661555934128,0.24127269452227704,0.2606473594548552,0.5156161272004542,0.2652750488690337,0.11868256672345258,0.5139125496876774,0.2915242509090407,0.0028392958546280523,0.49744463373083475,0.32703310138622577
27,POOL,0.727427597955707,0.5360590573537762,0.18326056444764652,0.6149914821124361,0.5411697898921067,0.19545712578956778,0.4355479840999432,0.532084043157297,0.2138956020849834,0.19534355479841,0.5082339579784213,0.23645887891786635,0.018171493469619535,0.4855195911413969,0.26902589076805705
28,GPC,0.7847813742191937,0.5445769449176604,0.16587018421291364,0.6950596252129472,0.5633162975582056,0.17043835651308678,0.5275411697898921,0.5502555366269165,0.18336749871892605,0.2674616695059625,0.521862578080636,0.2022890478921189,0.021010789324247586,0.49687677455990914,0.23208709924872237
29,LKQ,0.7257240204429302,0.5434412265758092,0.2311792487122742,0.5667234525837592,0.5406019307211811,0.2438944180519621,0.36740488358886997,0.5292447473026689,0.26155275400467404,0.18057921635434412,0.5150482680295286,0.2827069131987807,0.01192504258943782,0.4940374787052811,0.31320785635410153
30,MGM,0.5479840999432141,0.5281090289608177,0.34432386896160255,0.3588869960249858,0.514480408858603,0.36481778738617554,0.19307211811470756,0.49744463373083475,0.38757793092344217,0.06076093128904032,0.4889267461669506,0.4119281600929107,0.007950028392958546,0.478137421919364,0.4446500133530648
31,CMG,0.6683702441794435,0.5547984099943214,0.21363982301143683,0.5110732538330494,0.5332197614991482,0.23314649489526074,0.2941510505394662,0.5394662123793299,0.2566225439978198,0.10789324247586599,0.5173197047132311,0.2825359466606716,0.001135718341851221,0.5065303804656445,0.31778311779703233
32,CZR,0.37705848949460535,0.5332197614991482,0.45187682372104143,0.2402044293015332,0.5224304372515616,0.4741953236416134,0.1470755252697331,0.5195911413969335,0.4979840765033795,0.07382169222032936,0.5127768313458262,0.5228214958594722,0.014196479273140262,0.5105053946621237,0.555539357806404
33,CCL,0.5036910846110164,0.524701873935264,0.4861876931716053,0.41567291311754684,0.5366269165247018,0.5053448333112329,0.282793867120954,0.5383304940374787,0.5261673511588145,0.14366837024417944,0.5224304372515616,0.5482020399580539,0.009085746734809767,0.5036910846110164,0.5778384566180274
34,YUM,0.7075525269733106,0.5275411697898921,0.1857626132167071,0.666098807495741,0.5513912549687677,0.18458531489241053,0.5695627484383873,0.5559341283361726,0.19167973279335387,0.37649063032367974,0.5445769449176604,0.20542542016105536,0.06246450880181715,0.5053946621237932,0.22991427207909293
35,DPZ,0.7296990346394094,0.545144804088586,0.16763824846388542,0.6070414537194776,0.5513912549687677,0.18101580484387247,0.38784781374219196,0.5547984099943214,0.2008886173624153,0.18739352640545145,0.5309483248154457,0.22485023804088558,0.01590005678591709,0.5065303804656445,0.2589186083168438
36,WYNN,0.424190800681431,0.5428733674048836,0.35799285817499865,0.26462237365133445,0.5161839863713799,0.38399648699295474,0.11470755252697332,0.5036910846110164,0.41128738178098734,0.033503691084611015,0.488358886996025,0.43932387013645224,0.001135718341851221,0.4849517319704713,0.47581608957334903
37,LVS,0.5491198182850653,0.5394662123793299,0.25878088939892313,0.42248722316865417,0.534923339011925,0.2809865562748464,0.27938671209540034,0.5252697331061896,0.30593557527097565,0.10902896081771721,0.511641113003975,0.3325778480127205,0.0028392958546280523,0.4946053378762067,0.3681409988487977
38,BKNG,0.5811475409836065,0.5270491803278688,0.2207272015413717,0.4344262295081967,0.5286885245901639,0.24128974607934334,0.2942622950819672,0.5188524590163934,0.2654656115786236,0.12459016393442623,0.5131147540983606,0.29183741460828244,0.011475409836065573,0.5073770491803279,0.3274839619840413
39,SBUX,0.7257240204429302,0.532084043157297,0.1699172519762038,0.6405451448040886,0.5400340715502555,0.17591580607335175,0.5156161272004542,0.542305508233958,0.18984252105272864,0.30153321976149916,0.5366269165247018,0.20937620617967087,0.028392958546280524,0.5070982396365701,0.2395473980690381
40,HLT,0.6802952867688813,0.5496876774559909,0.4074978725791774,0.552526973310619,0.5508233957978421,0.41610411659084146,0.37081203861442363,0.5508233957978421,0.4278613335904566,0.1737649063032368,0.5275411697898921,0.44217076076549955,0.019307211811470756,0.5031232254400908,0.4634647453107079
