,Ticker,GARCH_CI,GARCH_Direction,GARCH_RMSE,FIGARCH_CI,FIGARCH_Direction,FIGARCH_RMSE,APARCH_CI,APARCH_Direction,APARCH_RMSE,HARCH_CI,HARCH_Direction,HARCH_RMSE,EGARCH_CI,EGARCH_Direction,EGARCH_RMSE
0,LUMN,0.9535864978902954,0.5421940928270043,0.2220158764347569,0.9578059071729956,0.5443037974683544,0.2117710111335468,0.9620253164556962,0.5443037974683544,0.2611384280998931,0.9535864978902954,0.5443037974683544,0.2320663366908075,0.7731277533039648,0.5253164556962026,1.3825596483958817e+152
1,VZ,0.980722891566265,0.5493975903614458,0.0677711483877766,0.9771084337349396,0.5457831325301205,0.0700088156556576,0.980664652567976,0.5379518072289157,22418.434558488705,0.9674698795180724,0.536144578313253,0.0854147636580213,0.8098078197481776,0.5301204819277109,1.2796159109142532e+152
2,T,0.9644578313253012,0.5391566265060241,0.1100471154978649,0.9716867469879518,0.5397590361445783,0.1087264701706866,0.9685800604229609,0.5343373493975904,3551.9339043965133,0.9566265060240964,0.541566265060241,0.1280365082901882,0.8172757475083057,0.5259036144578313,1.1681241655837625e+152
3,DIS,0.9740963855421688,0.5433734939759036,0.1079750550030396,0.972289156626506,0.5397590361445783,0.1104648280524759,0.9758890898131404,0.536144578313253,2.985552831109708,0.9632530120481928,0.5403614457831325,0.1373640649171253,0.8114973262032086,0.5253012048192771,1.4775731812513448e+152
4,TTWO,0.9692771084337348,0.55,0.1408516480383881,0.9686746987951808,0.5391566265060241,0.1407221037286865,0.9728588661037394,0.5463855421686747,1542.8659304195382,0.9536144578313251,0.5331325301204819,0.1662301242038822,0.8417402269861286,0.5265060240963856,1.4775731812513448e+152
5,NFLX,0.9704819277108434,0.5560240963855422,0.2175430778905554,0.9692771084337348,0.5620481927710843,0.2179225746419298,0.9709794437726724,0.5614457831325301,2967.7786059752098,0.960843373493976,0.5536144578313253,0.2410917888896332,0.7751633986928105,0.5367469879518072,1.4775731812513448e+152
6,ATVI,0.9813253012048192,0.5487951807228916,0.1657805158676442,0.9849397590361446,0.5409638554216868,0.1786958424110277,0.9812914906457452,0.5445783132530121,1280.065432878751,0.9692771084337348,0.5469879518072289,0.1883559424810617,0.8419333768778576,0.536144578313253,9.048250879216697e+151
7,LYV,0.9765060240963856,0.536144578313253,0.1500113796698907,0.9746987951807228,0.5271084337349398,0.1479689382792965,0.9722222222222222,0.5259036144578313,12982.123954244167,0.9674698795180724,0.5234939759036145,0.1936545283064457,0.8914579319203597,0.5180722891566265,1.1681241655837625e+152
8,EA,0.9849397590361446,0.5481927710843374,0.1100800995853976,0.983132530120482,0.5469879518072289,0.11008970809892,0.9795057263411694,0.5439759036144578,2380.567871110476,0.9692771084337348,0.5451807228915663,0.1365848003104709,0.8276962348436503,0.5337349397590362,7.387865906256724e+151
9,WBD,0.9876543209876544,0.5925925925925926,0.1724566884957858,1.0,0.5925925925925926,0.1767913345894727,1.0,0.6419753086419753,4.29680967335998,0.9753086419753086,0.6049382716049383,0.2023610144231936,0.9876543209876544,0.6049382716049383,0.1499332281928168
10,MTCH,0.9746987951807228,0.55,0.2012303935896892,0.9783132530120482,0.5548192771084337,0.2048780151140355,0.9734620024125452,0.5445783132530121,2.00119199854551,0.9716867469879518,0.5644578313253013,0.2297941210120399,0.8754764930114358,0.5409638554216868,5.224010080811027e+151
11,GOOGL,0.9795180722891568,0.5469879518072289,0.0964779999091149,0.9813253012048192,0.5512048192771084,0.0953212346012733,0.9788774894387448,0.5373493975903615,31042.109610649648,0.963855421686747,0.5469879518072289,0.1220080168733284,0.8090724441435342,0.5271084337349398,1.4775731812513448e+152
12,GOOG,0.977710843373494,0.5421686746987951,0.0979805993677348,0.9801204819277108,0.5427710843373494,0.0965644889793869,0.9818840579710144,0.5313253012048192,56.97045888332091,0.9626506024096384,0.5397590361445783,0.1231294585908343,0.8043478260869565,0.5265060240963856,1.1681241655837625e+152
13,CMCSA,0.989156626506024,0.5524096385542169,0.0913458292178509,0.9849397590361446,0.5445783132530121,0.0900278103985495,0.9879227053140096,0.5493975903614458,60.71185345683797,0.9783132530120482,0.5373493975903615,0.1114739729358861,0.8405144694533762,0.5198795180722892,7.387865906256724e+151
