,Ticker,Sector
224,ABC,Health Care
225,UHS,Health Care
226,DGX,Health Care
227,HSIC,Health Care
228,ELV,Health Care
229,MOH,Health Care
230,CNC,Health Care
231,HCA,Health Care
232,CAH,Health Care
233,DVA,Health Care
234,MCK,Health Care
235,HUM,Health Care
236,CVS,Health Care
237,LH,Health Care
238,WAT,Health Care
239,TECH,Health Care
240,CRL,Health Care
241,A,Health Care
242,IQV,Health Care
243,ILMN,Health Care
244,DHR,Health Care
245,PKI,Health Care
246,WST,Health Care
247,MTD,Health Care
248,BIO,Health Care
249,TMO,Health Care
250,BMY,Health Care
251,VTRS,Health Care
252,PFE,Health Care
253,CTLT,Health Care
254,ZTS,Health Care
255,LLY,Health Care
256,OGN,Health Care
257,MRK,Health Care
258,JNJ,Health Care
259,GD,Industrials
260,LMT,Industrials
261,TXT,Industrials
262,RTX,Industrials
263,HII,Industrials
264,HWM,Industrials
265,NOC,Industrials
266,LHX,Industrials
267,TDG,Industrials
268,BA,Industrials
269,FDX,Industrials
270,CHRW,Industrials
271,EXPD,Industrials
272,UPS,Industrials
273,LUV,Industrials
274,DAL,Industrials
275,UAL,Industrials
276,AAL,Industrials
277,ALK,Industrials
278,JCI,Industrials
279,ALLE,Industrials
280,AOS,Industrials
281,TT,Industrials
282,MAS,Industrials
283,CARR,Industrials
284,CPRT,Industrials
285,RSG,Industrials
286,WM,Industrials
287,ROL,Industrials
288,CTAS,Industrials
289,PWR,Industrials
290,ROK,Industrials
291,AME,Industrials
292,GNRC,Industrials
293,EMR,Industrials
294,ETN,Industrials
295,GE,Industrials
296,HON,Industrials
297,MMM,Industrials
298,PH,Industrials
299,DOV,Industrials
300,WAB,Industrials
301,OTIS,Industrials
302,CMI,Industrials
303,CAT,Industrials
304,IR,Industrials
305,IEX,Industrials
306,SNA,Industrials
307,NDSN,Industrials
308,SWK,Industrials
309,PNR,Industrials
310,PCAR,Industrials
311,ITW,Industrials
312,XYL,Industrials
313,DE,Industrials
314,FTV,Industrials
315,CSGP,Industrials
316,J,Industrials
317,LDOS,Industrials
318,RHI,Industrials
319,VRSK,Industrials
320,EFX,Industrials
321,UNP,Industrials
322,NSC,Industrials
323,JBHT,Industrials
324,CSX,Industrials
325,ODFL,Industrials
326,URI,Industrials
327,GWW,Industrials
328,FAST,Industrials
329,ANET,Information Technology
330,JNPR,Information Technology
331,MSI,Information Technology
332,CSCO,Information Technology
333,FFIV,Information Technology
334,ZBRA,Information Technology
335,APH,Information Technology
336,TDY,Industrials
337,GLW,Information Technology
338,CDW,Information Technology
339,TEL,Information Technology
340,KEYS,Information Technology
341,TRMB,Information Technology
342,IBM,Information Technology
343,FLT,Information Technology
344,AKAM,Information Technology
345,DXC,Information Technology
346,ADP,Information Technology
347,IT,Information Technology
348,GPN,Information Technology
349,FIS,Information Technology
350,VRSN,Information Technology
351,FISV,Information Technology
352,MA,Information Technology
353,ACN,Information Technology
354,PAYX,Information Technology
355,PYPL,Information Technology
356,CTSH,Information Technology
357,EPAM,Information Technology
358,JKHY,Information Technology
359,V,Information Technology
360,BR,Information Technology
361,ADI,Information Technology
362,QRVO,Information Technology
363,INTC,Information Technology
364,NXPI,Information Technology
365,FSLR,Information Technology
366,LRCX,Information Technology
367,AVGO,Information Technology
368,SEDG,Information Technology
369,SWKS,Information Technology
370,TER,Information Technology
371,QCOM,Information Technology
372,MCHP,Information Technology
373,AMAT,Information Technology
374,ON,Information Technology
375,AMD,Information Technology
376,TXN,Information Technology
377,KLAC,Information Technology
378,MPWR,Information Technology
379,NVDA,Information Technology
380,MU,Information Technology
381,PAYC,Information Technology
382,ORCL,Information Technology
383,SNPS,Information Technology
384,PTC,Information Technology
385,CRM,Information Technology
386,FTNT,Information Technology
387,MSFT,Information Technology
388,NOW,Information Technology
389,ADBE,Information Technology
390,ANSS,Information Technology
391,CDAY,Information Technology
392,ADSK,Information Technology
393,INTU,Information Technology
394,TYL,Information Technology
395,CDNS,Information Technology
396,ROP,Industrials
397,HPQ,Information Technology
398,HPE,Information Technology
399,WDC,Information Technology
400,AAPL,Information Technology
401,STX,Information Technology
402,NTAP,Information Technology
403,FMC,Materials
404,LYB,Materials
405,CF,Materials
406,SHW,Materials
407,ALB,Materials
408,DD,Materials
409,CTVA,Materials
410,APD,Materials
411,IFF,Materials
412,LIN,Materials
413,DOW,Materials
414,PPG,Materials
415,EMN,Materials
416,MOS,Materials
417,ECL,Materials
418,CE,Materials
419,VMC,Materials
420,MLM,Materials
421,WRK,Materials
422,BALL,Materials
423,IP,Materials
424,AVY,Materials
425,SEE,Materials
426,PKG,Materials
427,STLD,Materials
428,NUE,Materials
429,NEM,Materials
430,FCX,Materials
431,IRM,Real Estate
432,DLR,Real Estate
433,VTR,Real Estate
434,CPT,Real Estate
435,BXP,Real Estate
436,PLD,Real Estate
437,SBAC,Real Estate
438,CCI,Real Estate
439,REG,Real Estate
440,VICI,Real Estate
441,EQR,Real Estate
442,FRT,Real Estate
443,O,Real Estate
444,EQIX,Real Estate
445,WY,Real Estate
446,SPG,Real Estate
447,MAA,Real Estate
448,AVB,Real Estate
449,EXR,Real Estate
450,AMT,Real Estate
451,KIM,Real Estate
452,HST,Real Estate
453,WELL,Real Estate
454,PSA,Real Estate
455,ARE,Real Estate
456,ESS,Real Estate
457,PEAK,Real Estate
458,CBRE,Real Estate
459,DUK,Utilities
460,AEP,Utilities
461,NRG,Utilities
462,NEE,Utilities
463,EXC,Utilities
464,XEL,Utilities
465,EVRG,Utilities
466,EIX,Utilities
467,ETR,Utilities
468,CEG,Utilities
469,FE,Utilities
470,PPL,Utilities
471,PCG,Utilities
472,ES,Utilities
473,SO,Utilities
474,PNW,Utilities
