,Close,Hv10,IvMean10,IV_Target,HV_Target,GARCH_Lower_100,GARCH_Upper_100,GARCH_Prediction_100,FIGARCH_Lower_100,FIGARCH_Upper_100,FIGARCH_Prediction_100,APARCH_Lower_100,APARCH_Upper_100,APARCH_Prediction_100,HARCH_Lower_100,HARCH_Upper_100,HARCH_Prediction_100,EGARCH_Lower_100,EGARCH_Upper_100,EGARCH_Prediction_100
100,49.369998931884766,0.3889,0.4398,0.4265,0.4125,0.021888879260082872,1.072555083744061,0.5472219815020719,0.019325562548895836,0.9469525648958953,0.48313906372239557,0.02180330873563796,1.0683621280462547,0.5450827183909464,0.01928605369203862,0.9450166309098931,0.48215134230096585,9.834142902087562e-109,4.818730022022893e-107,2.4585357255218844e-107
101,50.560001373291016,0.4125,0.4265,0.4311,0.3851,0.021642328086137308,1.060474076220726,0.5410582021534317,0.019389396403164616,0.9500804237550674,0.484734910079116,0.021550235861934386,1.0559615572347807,0.5387558965483575,0.01936694435979691,0.9489802736300499,0.4841736089949234,1.0151205090324562e-89,4.97409049425902e-88,2.5378012725811327e-88
102,50.939998626708984,0.3851,0.4311,0.4356,0.3927,0.021544792805492596,1.0556948474691379,0.5386198201373152,0.01940579768452766,0.9508840865418565,0.4851449421131921,0.021431978676645036,1.0501669551556048,0.5357994669161249,0.019387693094387037,0.9499969616249635,0.48469232735967527,1.6516285742805626e-127,8.092980013974767e-126,4.129071435701412e-126
103,49.939998626708984,0.3927,0.4356,0.433,0.3856,0.02126624955712053,1.0420462282989036,0.5316562389280121,0.01930907362232759,0.9461446074940486,0.4827268405581881,0.021114549173797403,1.0346129095160745,0.527863729344936,0.01925323058690298,0.9434082987582479,0.48133076467257546,0.013447719997060292,0.6589382798559513,0.3361929999265058
104,48.52000045776367,0.3856,0.433,0.4457,0.331,0.02098042797001387,1.0280409705306812,0.5245106992503475,0.019330113717849096,0.9471755721746035,0.4832528429462263,0.020964536611191686,1.0272622939483937,0.5241134152797927,0.01928561801250961,0.9449952826129718,0.4821404503127407,6.241315968265212e-106,3.058244824449948e-104,1.5603289920663e-104
105,49.33000183105469,0.331,0.4457,0.4554,0.3486,0.020881917831885533,1.023213973762393,0.5220479457971393,0.01929507772850747,0.9454588086968663,0.48237694321268687,0.02089983265121864,1.0240917999097177,0.5224958162804682,0.019274598587395442,0.9444553307823751,0.48186496468488527,9.804119168500956e-119,4.8040183925654464e-117,2.451029792125228e-117
106,48.470001220703125,0.3486,0.4554,0.4558,0.325,0.020731401592430032,1.0158386780290694,0.5182850398107497,0.019268721384342324,0.9441673478327708,0.48171803460855656,0.020745305364735067,1.0165199628720176,0.5186326341183763,0.019234558503165133,0.942493366655093,0.48086396257912906,0.0192922295756629,0.9453192492074798,0.48230573939157134
107,48.939998626708984,0.325,0.4558,0.436,0.2754,0.02056803518462136,1.0078337240464506,0.514200879615536,0.01922333504122342,0.9419434170199451,0.48058337603058426,0.020562564366318314,1.0075656539495932,0.5140641091579558,0.01917502040122443,0.9395759996599945,0.47937551003060946,2.7988700112512397e-74,1.3714463055131092e-72,6.997175028128108e-73
108,48.939998626708984,0.2754,0.436,0.4299,0.2991,0.020395479103772818,0.9993784760848679,0.5098869775943203,0.019206793502905217,0.9411328816423565,0.4801698375726309,0.02040547353661426,0.9998682032940979,0.5101368384153561,0.019153589850815944,0.9385259026899807,0.4788397462703983,6.91839966293302e-52,3.390015834837182e-50,1.729599915733256e-50
109,47.459999084472656,0.2991,0.4299,0.4351,0.3959,0.02018832372421453,0.9892278624865095,0.504708093105362,0.01920217537235913,0.9409065932455952,0.4800543843089772,0.0202010981655516,0.989853810112028,0.5050274541387898,0.019135681380048952,0.937648387622398,0.4783920345012235,0.03699648638099373,1.8128278326686933,0.9249121595248435
110,49.209999084472656,0.3959,0.4351,0.4202,0.3621,0.020152569713879243,0.9874759159800822,0.5038142428469807,0.019185948598643532,0.9401114813335298,0.4796487149660867,0.020167337144331943,0.9881995200722652,0.5041834286082986,0.019170096031175254,0.9393347055275849,0.4792524007793801,5.977890791021966e-97,2.9291664876007543e-95,1.494472697755487e-95
111,50.130001068115234,0.3621,0.4202,0.4212,0.3871,0.020242381393985265,0.9918766883052758,0.5060595348496305,0.01935005670413359,0.9481527785025448,0.4837514176033392,0.020223293943162468,0.9909414032149609,0.5055823485790617,0.0193916144275581,0.9501891069503462,0.48479036068895215,0.0,0.0,0.0
112,48.939998626708984,0.3871,0.4212,0.4182,0.3748,0.02013589625676626,0.9866589165815444,0.5033974064191553,0.01939570896279308,0.9503897391768578,0.4848927240698254,0.020146229745420352,0.9871652575255977,0.503655743635509,0.01936316156955309,0.948794916908103,0.48407903923882806,2.5198198557206646e-132,1.2347117293031275e-130,6.299549639301671e-131
113,48.5099983215332,0.3748,0.4182,0.4708,0.3805,0.020051830032939866,0.9825396716140532,0.5012957508234965,0.019379716913453637,0.9496061287592298,0.4844929228363417,0.020055735220892768,0.9827310258237447,0.5013933805223187,0.019346413620154213,0.9479742673875561,0.48366034050385515,0.05964360959392234,2.9225368701021828,1.4910902398480526
114,49.20000076293945,0.3805,0.4708,0.4879,0.3809,0.01994028973514328,0.9770741970220207,0.498507243378582,0.019283045262203924,0.94486921784799,0.482076131555097,0.01994610719197465,0.9773592524067559,0.4986526797993653,0.019226300346439018,0.9420887169755091,0.48065750866097406,0.08396160039823908,4.114118419513689,2.099040009955964
115,49.38999938964844,0.3809,0.4879,0.4871,0.3466,0.019898770065909233,0.9750397332295503,0.49746925164772976,0.01918637566916337,0.9401324077890035,0.47965939172908345,0.01991088605212299,0.9756334165540247,0.49777215130307384,0.0191405611589176,0.9378874967869627,0.47851402897294015,0.0,0.0,0.0
116,48.41999816894531,0.3466,0.4871,0.4828,0.2565,0.0197718655822271,0.9688214135291282,0.49429663955567765,0.019183758355051594,0.9400041593975269,0.47959395887628925,0.01979085949872017,0.9697521154372858,0.494771487468003,0.019121062042192327,0.9369320400674253,0.4780265510548088,0.0016036630308575994,0.07857948851202212,0.04009157577143986
