,Ticker,Start,End,NA_Count,Days,Percent_NA
163,CME,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
164,TROW,2016-01-04,2022-12-30,216,2552,0.0013224921630094044
165,MCO,2016-01-04,2022-12-30,0,2552,0.0
166,SPGI,2016-05-27,2022-12-30,0,2408,0.0
167,AMP,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
168,RJF,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
169,BK,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
170,MS,2016-01-04,2022-12-30,0,2552,0.0
171,NDAQ,2016-01-04,2022-12-30,36,2552,0.0002204153605015674
172,MKTX,2016-01-04,2022-12-30,0,2552,0.0
173,SCHW,2016-01-04,2022-12-30,0,2552,0.0
174,DFS,2016-01-04,2022-12-30,0,2552,0.0
175,SYF,2016-01-04,2022-12-30,60,2552,0.000367358934169279
176,COF,2016-01-04,2022-12-30,0,2552,0.0
177,AXP,2016-01-04,2022-12-30,0,2552,0.0
178,MMC,2016-01-04,2022-12-30,2364,2552,0.014473942006269593
179,AON,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
180,TRV,2016-01-04,2022-12-30,84,2552,0.0005143025078369906
181,GL,2019-08-12,2022-12-30,48,1236,0.0006067961165048543
182,L,2016-01-04,2022-12-30,4344,2552,0.026596786833855798
183,PGR,2016-01-04,2022-12-30,504,2552,0.0030858150470219436
184,PFG,2016-01-04,2022-12-30,264,2552,0.0016163793103448276
185,RE,2016-01-04,2022-12-30,288,2552,0.0017633228840125393
186,ALL,2016-01-04,2022-12-30,60,2552,0.000367358934169279
187,WTW,2016-01-04,2022-12-30,0,2552,0.0
188,CB,2016-01-04,2022-12-30,276,2552,0.0016898510971786833
189,AFL,2016-01-04,2022-12-30,0,2552,0.0
190,MET,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
191,AJG,2016-01-04,2022-12-30,4188,2552,0.025641653605015673
192,AIZ,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
193,ACGL,2016-01-04,2022-12-30,1980,2552,0.012122844827586207
194,HIG,2016-01-04,2022-12-30,0,2552,0.0
195,PRU,2016-01-04,2022-12-30,60,2552,0.000367358934169279
196,CINF,2016-01-04,2022-12-30,1776,2552,0.010873824451410658
