,Ticker,Start,End,NA_Count
409,NTAP,2016-01-04,2022-12-30,0
410,FMC,2016-01-04,2022-12-30,48
411,LYB,2016-01-04,2022-12-30,0
412,CF,2016-01-04,2022-12-30,0
413,SHW,2016-01-04,2022-12-30,0
414,ALB,2016-01-04,2022-12-30,0
415,DD,2016-01-04,2022-12-30,0
416,CTVA,2019-06-04,2022-12-30,12
417,APD,2016-01-04,2022-12-30,300
418,IFF,2016-01-04,2022-12-30,12
419,LIN,2018-11-01,2022-12-30,0
420,DOW,2016-01-04,2022-12-30,60
421,PPG,2016-01-04,2022-12-30,0
422,EMN,2016-01-04,2022-12-30,24
423,MOS,2016-01-04,2022-12-30,0
424,ECL,2016-01-04,2022-12-30,84
425,CE,2016-01-04,2022-12-30,0
426,VMC,2016-01-04,2022-12-30,48
427,MLM,2016-01-04,2022-12-30,0
428,WRK,2016-01-04,2022-12-30,96
429,AMCR,2019-06-17,2022-12-30,6276
430,BALL,2022-05-10,2022-12-30,0
431,IP,2016-01-04,2022-12-30,0
432,AVY,2016-01-04,2022-12-30,216
433,SEE,2016-01-04,2022-12-30,12
434,PKG,2016-01-04,2022-12-30,0
435,STLD,2016-01-04,2022-12-30,0
436,NUE,2016-01-04,2022-12-30,0
437,NEM,2016-01-04,2022-12-30,0
438,FCX,2016-01-04,2022-12-30,0
439,IRM,2016-01-04,2022-12-30,1188
440,DLR,2016-01-04,2022-12-30,180
441,VTR,2016-01-04,2022-12-30,972
442,CPT,2016-01-04,2022-12-30,2976
443,BXP,2016-01-04,2022-12-30,240
444,PLD,2016-01-04,2022-12-30,468
445,SBAC,2016-01-04,2022-12-30,0
446,CCI,2016-01-04,2022-12-30,240
447,REG,2016-01-04,2022-12-30,3828
448,INVH,2017-03-13,2022-12-30,8484
449,VICI,2018-03-01,2022-12-30,4392
450,EQR,2016-01-04,2022-12-30,1020
451,FRT,2016-01-04,2022-12-30,1248
452,O,2016-01-04,2022-12-30,1716
453,EQIX,2016-01-04,2022-12-30,0
454,WY,2016-01-04,2022-12-30,96
455,SPG,2016-01-04,2022-12-30,144
456,MAA,2016-01-04,2022-12-30,1068
457,AVB,2016-01-04,2022-12-30,468
458,EXR,2016-01-04,2022-12-30,420
459,AMT,2016-01-04,2022-12-30,0
460,KIM,2016-01-04,2022-12-30,5148
461,HST,2016-01-04,2022-12-30,48
462,WELL,2018-02-28,2022-12-30,936
463,PSA,2016-01-04,2022-12-30,120
464,UDR,2016-01-04,2022-12-30,10212
465,ARE,2016-01-04,2022-12-30,1320
466,ESS,2016-01-04,2022-12-30,264
467,PEAK,2019-11-05,2022-12-30,288
468,CBRE,2018-03-28,2022-12-30,0
469,DUK,2016-01-04,2022-12-30,984
470,AEP,2016-01-04,2022-12-30,696
471,NRG,2016-01-04,2022-12-30,0
472,NEE,2016-01-04,2022-12-30,228
473,EXC,2016-01-04,2022-12-30,300
474,LNT,2016-01-04,2022-12-30,8256
475,XEL,2016-01-04,2022-12-30,6072
476,EVRG,2018-06-11,2022-12-30,2484
477,EIX,2016-01-04,2022-12-30,108
478,ETR,2016-01-04,2022-12-30,2124
479,CEG,2022-02-10,2022-12-30,0
480,FE,2016-01-04,2022-12-30,24
481,PPL,2016-01-04,2022-12-30,1632
482,PCG,2016-01-04,2022-12-30,1056
483,ES,2016-01-04,2022-12-30,5376
484,SO,2016-01-04,2022-12-30,732
485,PNW,2016-01-04,2022-12-30,2820
486,ATO,2016-01-04,2022-12-30,4320
487,AES,2016-01-04,2022-12-30,516
488,CMS,2016-01-04,2022-12-30,8280
489,ED,2016-01-04,2022-12-30,384
490,D,2016-01-04,2022-12-30,888
491,DTE,2016-01-04,2022-12-30,2352
492,NI,2016-01-04,2022-12-30,3216
493,AEE,2016-01-04,2022-12-30,4776
494,PEG,2016-01-04,2022-12-30,4992
495,SRE,2016-01-04,2022-12-30,648
496,WEC,2016-01-04,2022-12-30,3636
497,CNP,2016-01-04,2022-12-30,1164
498,AWK,2016-01-04,2022-12-30,1044
