,Ticker,5_Day_CI,5_Day_EV,5_Day_RMSE,7_Day_CI,7_Day_EV,7_Day_RMSE,10_Day_CI,10_Day_EV,10_Day_RMSE,15_Day_CI,15_Day_EV,15_Day_RMSE,30_Day_CI,30_Day_EV,30_Day_RMSE
0,LUMN,0.0,0.5078260869565218,0.3213331356542815,0.0,0.5078260869565218,0.3399468468875819,0.0,0.5078260869565218,0.3580765121731565,0.0,0.5078260869565218,0.3757234584591011,0.0,0.5078260869565218,0.3976475363936785
1,VZ,0.5371947756956275,0.5264054514480409,0.0935712991103748,0.16240772288472458,0.5190232822260079,0.10908101322943292,0.0068143100511073255,0.5190232822260079,0.12530830191709777,0.0,0.5190232822260079,0.14174366850012626,0.0,0.5190232822260079,0.16275635455384374
2,T,0.4026121521862578,0.534923339011925,0.1249988866483769,0.10789324247586599,0.5303804656445201,0.14060123785035877,0.003975014196479273,0.5292447473026689,0.15664872472034563,0.0,0.5292447473026689,0.1728032095577516,0.0,0.5292447473026689,0.1934249465808319
3,DIS,0.2731402612152186,0.5002839295854627,0.18682357202252498,0.0868824531516184,0.4991482112436116,0.2023646746347182,0.0,0.4991482112436116,0.21807622269554533,0.0,0.4991482112436116,0.2337772566740281,0.0,0.4991482112436116,0.25376154360235276
4,TTWO,0.0,0.5082339579784213,0.27349041963308834,0.0,0.5082339579784213,0.2918907833039321,0.0,0.5082339579784213,0.30984230926808404,0.0,0.5082339579784213,0.3273260087273123,0.0,0.5082339579784213,0.3491112116796787
5,NFLX,0.0,0.5195911413969335,0.3288586948941968,0.0,0.5195911413969335,0.34642620846592714,0.0,0.5195911413969335,0.36362054541663963,0.0,0.5195911413969335,0.3804179016745659,0.0,0.5195911413969335,0.4014172766832662
6,ATVI,0.07495741056218058,0.5207268597387847,0.23097697563960193,0.039750141964792735,0.5133446905167518,0.24826865355799652,0.009085746734809767,0.5110732538330494,0.26532761288570705,0.0,0.5105053946621237,0.28208230345893925,0.0,0.5105053946621237,0.3031122388884629
7,LYV,0.010789324247586598,0.5127768313458262,0.34592868147180533,0.0,0.5127768313458262,0.361047877670298,0.0,0.5127768313458262,0.3760838693474059,0.0,0.5127768313458262,0.3909680778481427,0.0,0.5127768313458262,0.4098273478759107
8,EA,0.0073821692220329355,0.5258375922771152,0.21905601619039686,0.0,0.5258375922771152,0.23713919337124137,0.0,0.5258375922771152,0.25487565080436714,0.0,0.5258375922771152,0.272213307364369,0.0,0.5258375922771152,0.29387456479297835
9,WBD,0.0,0.5274725274725275,0.49218371247936643,0.0,0.5274725274725275,0.5119511107708992,0.0,0.5274725274725275,0.5310415606556926,0.0,0.5274725274725275,0.5494893578729475,0.0,0.5274725274725275,0.5722878292773965
10,MTCH,0.0,0.5053946621237932,0.39800829310994557,0.0,0.5053946621237932,0.416831001548095,0.0,0.5053946621237932,0.43509701499277037,0.0,0.5053946621237932,0.45281979694452784,0.0,0.5053946621237932,0.4748139246375541
11,GOOGL,0.23793299261783077,0.5178875638841567,0.17382147386470037,0.07211811470755253,0.5133446905167518,0.19028927321836858,0.0017035775127768314,0.5133446905167518,0.20679475622077173,0.0,0.5133446905167518,0.22317469130190917,0.0,0.5133446905167518,0.24389166052197264
12,GOOG,0.25440090857467346,0.5178875638841567,0.17210085993324759,0.07893242475865986,0.5110732538330494,0.18847418457558898,0.002271436683702442,0.5110732538330494,0.20490870659976407,0.0,0.5110732538330494,0.22123416340231758,0.0,0.5110732538330494,0.24189838290785406
13,CMCSA,0.1465076660988075,0.5281090289608177,0.16357871045256275,0.015332197614991482,0.5275411697898921,0.18059693686672829,0.0,0.5275411697898921,0.19757634641461483,0.0,0.5275411697898921,0.21436270706136584,0.0,0.5275411697898921,0.2355175553038816
14,DISH,0.0,0.5176136363636363,0.4030947153582857,0.0,0.5176136363636363,0.4209203423185868,0.0,0.5176136363636363,0.43830592290067555,0.0,0.5176136363636363,0.45524687837799166,0.0,0.5176136363636363,0.47636514478246567
15,NWSA,0.0034071550255536627,0.4838160136286201,0.2711206164538199,0.0,0.4838160136286201,0.2885225115276184,0.0,0.4838160136286201,0.3056286530783205,0.0,0.4838160136286201,0.32239190267666806,0.0,0.4838160136286201,0.34338364626231277
16,IPG,0.0034071550255536627,0.49290176036342986,0.23223842911465478,0.0,0.49290176036342986,0.24940791034080353,0.0,0.49290176036342986,0.26636826750984066,0.0,0.49290176036342986,0.28303914792921925,0.0,0.49290176036342986,0.30398084497582184
17,CHTR,0.020442930153321975,0.5252697331061896,0.20374362122592,0.0,0.5252697331061896,0.22213026576701947,0.0,0.5252697331061896,0.2401321184664163,0.0,0.5252697331061896,0.2577089211935434,0.0,0.5252697331061896,0.27963639087206626
18,PARA,0.0,0.4954128440366973,0.41014323261848795,0.0,0.4954128440366973,0.4297649269166802,0.0,0.4954128440366973,0.4487190077832629,0.0,0.4954128440366973,0.467055610380001,0.0,0.4954128440366973,0.48974337224167697
19,FOXA,0.003125,0.515625,0.2846277839035072,0.0,0.515625,0.30261629448317906,0.0,0.515625,0.3197807026911997,0.0,0.515625,0.336573246554846,0.0,0.515625,0.3575686335311854
20,OMC,0.07722884724588303,0.49119818285065303,0.1864296117336311,0.0,0.49119818285065303,0.20359874448718807,0.0,0.49119818285065303,0.2206420065818042,0.0,0.49119818285065303,0.23743928141766965,0.0,0.49119818285065303,0.2585722135678159
21,TMUS,0.025,0.5204545454545455,0.18604624179784662,0.0,0.5204545454545455,0.20412150746306879,0.0,0.5204545454545455,0.221897682412879,0.0,0.5204545454545455,0.23930146878304182,0.0,0.5204545454545455,0.26106208092422756
22,APTV,0.0,0.5058823529411764,0.298421044371438,0.0,0.5058823529411764,0.3161128731072779,0.0,0.5058823529411764,0.33344471168419226,0.0,0.5058823529411764,0.3504121712161295,0.0,0.5058823529411764,0.3716298369522772
23,BWA,0.0,0.5156161272004542,0.2510563595274788,0.0,0.5156161272004542,0.26953980150563506,0.0,0.5156161272004542,0.2875766954284193,0.0,0.5156161272004542,0.3051468067276368,0.0,0.5156161272004542,0.32703742685207804
24,F,0.03520726859738785,0.5025553662691652,0.2992889324438718,0.002271436683702442,0.5025553662691652,0.3153895592921917,0.0,0.5025553662691652,0.33134708030732896,0.0,0.5025553662691652,0.3470899447928406,0.0,0.5025553662691652,0.36693957674567895
25,TSLA,0.0,0.5383304940374787,0.47614354623265687,0.0,0.5383304940374787,0.4942196051003892,0.0,0.5383304940374787,0.5118029319543517,0.0,0.5383304940374787,0.5288982439726868,0.0,0.5383304940374787,0.5501581969013771
26,GM,0.019307211811470756,0.5332197614991482,0.2704252211766117,0.0,0.5332197614991482,0.2870428548262279,0.0,0.5332197614991482,0.30348875103799244,0.0,0.5332197614991482,0.319691021744552,0.0,0.5332197614991482,0.34008699013540905
27,POOL,0.021578648495173196,0.47018739352640543,0.2185187078926333,0.0,0.47018739352640543,0.23590270443360073,0.0,0.47018739352640543,0.2530613135359128,0.0,0.47018739352640543,0.26991858833494436,0.0,0.47018739352640543,0.29107904334805146
28,GPC,0.19988642816581487,0.501419647927314,0.1619343942903444,0.009085746734809767,0.501419647927314,0.1783379317253148,0.0,0.501419647927314,0.19483321336968915,0.0,0.501419647927314,0.21123672215601252,0.0,0.501419647927314,0.23201504689226368
29,LKQ,0.020442930153321975,0.4849517319704713,0.23328522917498742,0.0,0.4849517319704713,0.25050239533252655,0.0,0.4849517319704713,0.2675038283986921,0.0,0.4849517319704713,0.28421823247026456,0.0,0.4849517319704713,0.3052262480773766
30,MGM,0.006246450880181715,0.5173197047132311,0.40977128233159926,0.0,0.5173197047132311,0.4247883269171411,0.0,0.5173197047132311,0.43971113786261584,0.0,0.5173197047132311,0.454498433379496,0.0,0.5173197047132311,0.47320267565710455
31,CMG,0.006246450880181715,0.5252697331061896,0.25418838348689066,0.0,0.5252697331061896,0.27157765092149133,0.0,0.5252697331061896,0.28869265060079574,0.0,0.5252697331061896,0.30547902969135754,0.0,0.5252697331061896,0.32651822302576333
32,CZR,0.05735377626348666,0.5190232822260079,0.5618613702777048,0.010789324247586598,0.5195911413969335,0.5780371001567437,0.001135718341851221,0.5195911413969335,0.5939247882655493,0.0005678591709256105,0.5190232822260079,0.609530032395323,0.0,0.5190232822260079,0.6291105415336553
33,CCL,0.05394662123793299,0.5229982964224872,0.4775504751286695,0.001135718341851221,0.5229982964224872,0.491485784085327,0.0,0.5229982964224872,0.505350821094949,0.0,0.5229982964224872,0.5191442710041095,0.0,0.5229982964224872,0.536723583387567
34,YUM,0.35036910846110164,0.5258375922771152,0.16277314831433792,0.09710391822827939,0.5224304372515616,0.17788331059528123,0.0,0.5224304372515616,0.19333800395977094,0.0,0.5224304372515616,0.20889348173586045,0.0,0.5224304372515616,0.22879058454809484
35,DPZ,0.015332197614991482,0.5093696763202725,0.20688817894155084,0.0,0.5093696763202725,0.22462341907973493,0.0,0.5093696763202725,0.2420888096789784,0.0,0.5093696763202725,0.2592005147243312,0.0,0.5093696763202725,0.28063196180801364
36,WYNN,0.0,0.521862578080636,0.4021707876867541,0.0,0.521862578080636,0.4195832254576753,0.0,0.521862578080636,0.43660498557756433,0.0,0.521862578080636,0.4532345914564202,0.0,0.521862578080636,0.474012575441869
37,LVS,0.0056785917092561046,0.5275411697898921,0.3168173054228929,0.0,0.5275411697898921,0.3337192361335751,0.0,0.5275411697898921,0.35034839830365966,0.0,0.5275411697898921,0.36666799134610323,0.0,0.5275411697898921,0.38714387294513497
38,BKNG,0.06393442622950819,0.5188524590163934,0.2656067669357809,0.001639344262295082,0.5188524590163934,0.2826255116857952,0.0,0.5188524590163934,0.29941040636170224,0.0,0.5188524590163934,0.3159025002145952,0.0,0.5188524590163934,0.33661184617115686
39,SBUX,0.27427597955706984,0.49630891538898353,0.17204764058335612,0.04826802952867689,0.4946053378762067,0.18771502884958022,0.0,0.4946053378762067,0.2035848227570318,0.0,0.4946053378762067,0.21945401047171317,0.0,0.4946053378762067,0.23964827370842542
40,HLT,0.03634298693923907,0.5252697331061896,0.25874120279288865,0.0005678591709256105,0.5252697331061896,0.2741518010942248,0.0,0.5252697331061896,0.28956764446458755,0.0,0.5252697331061896,0.30489212714916514,0.0,0.5252697331061896,0.32433694525843393
41,RCL,0.002271436683702442,0.532084043157297,0.45772539841053583,0.0,0.532084043157297,0.47235004319517204,0.0,0.532084043157297,0.4868331701354209,0.0,0.532084043157297,0.5011802436231868,0.0,0.532084043157297,0.5193935127469318
42,MCD,0.5582055650198751,0.5474162407722885,0.1148753988173893,0.21862578080636003,0.5354911981828506,0.12879387837496242,0.01192504258943782,0.534923339011925,0.14363862105967956,0.0,0.534923339011925,0.15892068595118147,0.0,0.534923339011925,0.17873616419573563
43,MAR,0.059057353776263484,0.5269733106189665,0.2694598685224691,0.002271436683702442,0.5269733106189665,0.2846830426015813,0.0,0.5269733106189665,0.2999251564613275,0.0,0.5269733106189665,0.315090526043727,0.0,0.5269733106189665,0.33434526115864927
44,EXPE,0.01590005678591709,0.5150482680295286,0.3641000134406896,0.0,0.5150482680295286,0.3797916751109924,0.0,0.5150482680295286,0.39530944257914136,0.0,0.5150482680295286,0.4106161314325387,0.0,0.5150482680295286,0.4298996406940229
45,DRI,0.03577512776831346,0.4957410562180579,0.29324151601550436,0.0,0.4957410562180579,0.3072099201192435,0.0,0.4957410562180579,0.3213305373079346,0.0,0.4957410562180579,0.33550273306850487,0.0,0.4957410562180579,0.35365134069640136
46,NCLH,0.0,0.5139125496876774,0.5228959555595596,0.0,0.5139125496876774,0.5375386438087065,0.0,0.5139125496876774,0.552008086350317,0.0,0.5139125496876774,0.5663290826556978,0.0,0.5139125496876774,0.5844930927384385
47,LEN,0.0017045454545454545,0.5329545454545455,0.2682818735624891,0.0,0.5329545454545455,0.28530130251273744,0.0,0.5329545454545455,0.3020818321414462,0.0,0.5329545454545455,0.31857765564758905,0.0,0.5329545454545455,0.3393079273632322
48,NWL,0.001135718341851221,0.4906303236797274,0.28693864756300896,0.0,0.4906303236797274,0.3041471332426189,0.0,0.4906303236797274,0.32107464955312204,0.0,0.4906303236797274,0.3376691821863707,0.0,0.4906303236797274,0.358474723091769
